#
# Reasons.csv
#
# RID -> Reason table for MeshConsole and other uses.
#
# Generated by ReasonProcessor.py
# from Locations.csv, People.csv
#
# !!! DO NOT EDIT !!!
#
# Generated at 2014-10-22 22:28:56
#
0,ZER0
1,Хаб
2,MOB2
3,MOB3
4,MOB4
5,MOB5
6,MOB6
7,MOB7
8,MOB8
9,MOB9
10,PH10
11,PH11
12,PH12
13,PH13
14,PH14
15,PH15
16,PH16
17,PH17
18,PH18
19,PH19
20,PH20
21,PH21
22,PH22
23,PH23
24,PH24
25,PH25
26,PH26
27,PH27
28,PH28
29,PH29
30,PH30
31,PH31
32,PH32
33,PH33
34,PH34
35,PH35
36,PH36
37,PH37
38,PH38
39,PH39
40,PH40
41,PH41
42,PH42
43,PH43
44,PH44
45,PH45
46,PH46
47,PH47
48,PH48
49,PH49
50,Главный
51,Бар
52,Большая
53,Малая
54,Переговорка
55,1-Холл
56,Курилка
57,2-Лестница
58,2-Холл
59,2-левый-1
60,2-правый-1
61,2-левый-2
62,2-правый-2
63,2-левый-3
64,3-Лестница
65,3-Холл
66,3-левый-1
67,3-правый-1
68,3-левый-2
69,3-правый-2
70,3-левый-3
71,R071
72,R072
73,R073
74,R074
75,R075
76,R076
77,R077
78,R078
79,R079
80,R080
81,R081
82,R082
83,R083
84,R084
85,R085
86,R086
87,R087
88,R088
89,R089
90,R090
91,R091
92,R092
93,R093
94,R094
95,R095
96,R096
97,R097
98,R098
99,R099
100,R100
101,Шико
102,Сказка
103,Нуси
104,Ведьма
105,Кузьмин
106,Алькви
107,МакДуф
108,Айка
109,Циник
110,Астая
111,#Клэр
112,Вар
113,Слонтус
114,Сеата
115,Ёвин
116,Воробейка
117,Орлик
118,#Фрикси
119,Голованов
120,Ксинг
121,Ри
122,Ветер
123,Деметриус
124,Тоныч
125,Хель
126,КоЛенка
127,Донна Анна
128,Машка Л.
129,Йолаф
130,Рингиль
131,Морковка
132,Варпо
133,#Вер
134,Настя К.
135,Стаська
136,Рута
137,Румата
138,Лиса
139,Фрида
140,Анжей
141,Кривда
142,Кролль
143,Крэйл
144,Макси
145,Корсар
146,Рейегар
147,Миша
148,Даир
149,Мирабель
150,Фидель
151,Лустберг
152,Хиус
153,Тэони
154,Хлёнь
155,Медик
156,Львёнок
157,Александр
158,Оэлун
159,Салим
160,Ярославна
161,Клепа
162,Дионис
163,Рыжий Лись
164,Кира
165,Грэй
166,Урфин
167,Ася
168,Хэлка
169,Иден
170,Сарё
171,дСлава
172,Ринглин
173,Фрам
174,Леноран
175,Сапфирка
176,Крайк
177,Безымянная
178,Энно
179,Феанур
180,Скади
181,Ксана
182,Кендер
183,Фло
184,Троицкая
185,Милена
186,Фантом
187,Арьен
188,Женечка
189,#Лео
190,#Атана
191,Лилиан
192,Шилов
193,Шихана
194,Камилл
195,P195
196,P196
197,P197
198,P198
199,P199
